Stages and minor;;;General;;;;;;;;;;;;;;
classifications;;;Classification;;;;;;;;;;;;;;
1;80;;1;600;;;;;;;;;;;;;
2;50;;2;450;;;;;;;;;;;;;
3;35;;3;380;;;;;;;;;;;;;
4;25;;4;320;;;;;;;;;;;;;
5;15;;5;290;;;;;;;;;;;;;
6;10;;6;260;;;;;;;;;;;;;
7;5;;7;230;;;;;;;;;;;;;
8;3;;8;200;;;;;;;;;;;;;
9;2;;9;180;;;;;;;;;;;;;
10;1;;10;160;;;;;;;;;;;;;
;;;11;140;;;;;;;;;;;;;
;;;12;130;;;;;;;;;;;;;
;;;13;120;;;;;;;;;;;;;
;;;14;110;;;;;;;;;;;;;
Leader;20;;15;100;;;;;;;;;;;;;
;;;16;94;;;;;;;;;;;;;
;;;17;88;;;;;;;;;;;;;
;;;18;82;;;;;;;;;;;;;
;;;19;77;;;;;;;;;;;;;
;;;20;72;;;;;;;;;;;;;
;;;21;67;;;;;;;;;;;;;
;;;22;65;;;;;;;;;;;;;
;;;23;63;;;;;;;;;;;;;
;;;24;61;;;;;;;;;;;;;
;;;25;59;;;;;;;;;;;;;
;;;26;57;;;;;;;;;;;;;
;;;27;55;;;;;;;;;;;;;
;;;28;53;;;;;;;;;;;;;
;;;29;51;;;;;;;;;;;;;
;;;30;49;;;;;;;;;;;;;
;;;31;47;;;;;;;;;;;;;
;;;32;45;;;;;;;;;;;;;
;;;33;43;;;;;;;;;;;;;
;;;34;41;;;;;;;;;;;;;
;;;35;39;;;;;;;;;;;;;
;;;36;37;;;;;;;;;;;;;
;;;37;35;;;;;;;;;;;;;
;;;38;33;;;;;;;;;;;;;
;;;39;32;;;;;;;;;;;;;
;;;40;31;;;;;;;;;;;;;
;;;41;30;;;;;;;;;;;;;
;;;42;29;;;;;;;;;;;;;
;;;43;28;;;;;;;;;;;;;
;;;44;27;;;;;;;;;;;;;
;;;45;26;;;;;;;;;;;;;
;;;46;25;;;;;;;;;;;;;
;;;47;24;;;;;;;;;;;;;
;;;48;23;;;;;;;;;;;;;
;;;49;22;;;;;;;;;;;;;
;;;50;21;;;;;;;;;;;;;
;;;>50;20;;;;;;;;;;;;;